                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.932,                 0.4981,                 0.9312,                 2.0124,              0.0033323,              0.0033323,              0.0033323
                      2,                 1.8142,                 0.5196,                  0.927,                 1.9948,              0.0065996,              0.0065996,              0.0065996
                      3,                 1.7496,                 0.6034,                 0.9533,                 1.9833,               0.009801,               0.009801,               0.009801
                      4,                 1.4899,                 0.6582,                 0.9651,                 1.9123,               0.009703,               0.009703,               0.009703
